0         	netw           	TxRx	     	latencies, ms: 
in0 >	10|0	10|0	10|0	
in1 >	10|0	10|0	10|0	
in2 >	10|0	10|0	10|0	
 	v	v	v	
out	0	1	2	
0.03      	netw           	  Rx	< < <	checkReceive	0->1 TX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
0.04      	netw           	Tx  	> > >	send	->1 RX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
1.01      	netw           	  Rx	< < <	push_into_network	->2 TX_FIND_SUCCESSOR mID 0 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @1 pS 0
1.01      	netw           	  Rx	< < <	checkReceive	0->2 TX_FIND_SUCCESSOR mID 0 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @1 pS 0
1.02      	netw           	Tx  	> > >	send	->2 RX_FIND_SUCCESSOR mID 0 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @1 pS 0
1.02      	netw           	  Rx	< < <	push_into_network	->0 TX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
1.02      	netw           	  Rx	< < <	push_into_network	->0 TX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
1.02      	netw           	  Rx	< < <	checkReceive	2->0 TX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
1.03      	netw           	Tx  	> > >	send	->0 RX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
1.03      	netw           	  Rx	< < <	push_into_network	->0 TX_FIND_SUCCESSOR mID 769 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @4 pS 0
1.03      	netw           	  Rx	< < <	checkReceive	2->0 TX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
1.04      	netw           	Tx  	> > >	send	->0 RX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
1.04      	netw           	  Rx	< < <	checkReceive	2->0 TX_FIND_SUCCESSOR mID 769 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @4 pS 0
1.04      	netw           	  Rx	< < <	push_into_network	->0 TX_FIND_SUCCESSOR mID 162 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @3 pS 0
1.05      	netw           	Tx  	> > >	send	->0 RX_FIND_SUCCESSOR mID 769 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @4 pS 0
1.05      	netw           	  Rx	< < <	checkReceive	1->0 TX_FIND_SUCCESSOR mID 162 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @3 pS 0
1.05      	netw           	  Rx	< < <	push_into_network	->2 TX_ACK mID 769 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
1.05      	netw           	  Rx	< < <	push_into_network	->2 TX_SUCCESSOR mID 769 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
1.05      	netw           	  Rx	< < <	checkReceive	0->2 TX_ACK mID 769 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
1.06      	netw           	Tx  	> > >	send	->0 RX_FIND_SUCCESSOR mID 162 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @3 pS 0
1.06      	netw           	Tx  	> > >	send	->2 RX_ACK mID 769 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
1.06      	netw           	  Rx	< < <	checkReceive	0->2 TX_SUCCESSOR mID 769 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
1.06      	netw           	  Rx	< < <	push_into_network	->1 TX_ACK mID 162 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
1.06      	netw           	  Rx	< < <	push_into_network	->2 TX_FIND_SUCCESSOR mID 162 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @1 sID @3 pS 0
1.06      	netw           	  Rx	< < <	checkReceive	0->1 TX_ACK mID 162 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
1.07      	netw           	Tx  	> > >	send	->1 RX_ACK mID 162 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
1.07      	netw           	Tx  	> > >	send	->2 RX_SUCCESSOR mID 769 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
1.07      	netw           	  Rx	< < <	checkReceive	0->2 TX_FIND_SUCCESSOR mID 162 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @1 sID @3 pS 0
1.08      	netw           	Tx  	> > >	send	->2 RX_FIND_SUCCESSOR mID 162 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @1 sID @3 pS 0
1.08      	netw           	  Rx	< < <	push_into_network	->0 TX_ACK mID 162 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
1.08      	netw           	  Rx	< < <	push_into_network	->1 TX_SUCCESSOR mID 162 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @2 i @0 sID @2 pS 0
1.08      	netw           	  Rx	< < <	checkReceive	2->0 TX_ACK mID 162 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
1.08      	netw           	  Rx	< < <	checkReceive	2->1 TX_SUCCESSOR mID 162 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @2 i @0 sID @2 pS 0
1.09      	netw           	Tx  	> > >	send	->0 RX_ACK mID 162 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
1.09      	netw           	Tx  	> > >	send	->1 RX_SUCCESSOR mID 162 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @2 i @0 sID @2 pS 0
2.01      	netw           	  Rx	< < <	push_into_network	->2 TX_FIND_SUCCESSOR mID 1267 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @2 pS 0
2.01      	netw           	  Rx	< < <	checkReceive	0->2 TX_FIND_SUCCESSOR mID 1267 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @2 pS 0
2.02      	netw           	Tx  	> > >	send	->2 RX_FIND_SUCCESSOR mID 1267 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @2 pS 0
2.02      	netw           	  Rx	< < <	push_into_network	->0 TX_ACK mID 1267 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
2.02      	netw           	  Rx	< < <	push_into_network	->0 TX_SUCCESSOR mID 1267 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
2.02      	netw           	  Rx	< < <	checkReceive	2->0 TX_ACK mID 1267 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
2.03      	netw           	Tx  	> > >	send	->0 RX_ACK mID 1267 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
2.03      	netw           	  Rx	< < <	checkReceive	2->0 TX_SUCCESSOR mID 1267 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
2.03      	netw           	  Rx	< < <	push_into_network	->0 TX_FIND_SUCCESSOR mID 1995 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @1 pS 0
2.04      	netw           	Tx  	> > >	send	->0 RX_SUCCESSOR mID 1267 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
2.04      	netw           	  Rx	< < <	push_into_network	->0 TX_FIND_SUCCESSOR mID 2277 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @0 pS 0
2.04      	netw           	  Rx	< < <	checkReceive	2->0 TX_FIND_SUCCESSOR mID 1995 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @1 pS 0
2.05      	netw           	Tx  	> > >	send	->0 RX_FIND_SUCCESSOR mID 1995 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @1 pS 0
2.05      	netw           	  Rx	< < <	checkReceive	1->0 TX_FIND_SUCCESSOR mID 2277 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @0 pS 0
2.05      	netw           	  Rx	< < <	push_into_network	->2 TX_ACK mID 1995 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
2.05      	netw           	  Rx	< < <	push_into_network	->2 TX_SUCCESSOR mID 1995 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
2.05      	netw           	  Rx	< < <	checkReceive	0->2 TX_ACK mID 1995 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
2.06      	netw           	Tx  	> > >	send	->0 RX_FIND_SUCCESSOR mID 2277 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @0 pS 0
2.06      	netw           	Tx  	> > >	send	->2 RX_ACK mID 1995 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
2.06      	netw           	  Rx	< < <	checkReceive	0->2 TX_SUCCESSOR mID 1995 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
2.06      	netw           	  Rx	< < <	push_into_network	->1 TX_ACK mID 2277 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
2.06      	netw           	  Rx	< < <	push_into_network	->1 TX_SUCCESSOR mID 2277 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
2.06      	netw           	  Rx	< < <	checkReceive	0->1 TX_ACK mID 2277 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
2.07      	netw           	Tx  	> > >	send	->1 RX_ACK mID 2277 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
2.07      	netw           	Tx  	> > >	send	->2 RX_SUCCESSOR mID 1995 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
2.07      	netw           	  Rx	< < <	checkReceive	0->1 TX_SUCCESSOR mID 2277 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
2.08      	netw           	Tx  	> > >	send	->1 RX_SUCCESSOR mID 2277 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
3.01      	netw           	  Rx	< < <	push_into_network	->2 TX_FIND_SUCCESSOR mID 2802 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @2047 pS 0
3.01      	netw           	  Rx	< < <	checkReceive	0->2 TX_FIND_SUCCESSOR mID 2802 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @2047 pS 0
3.02      	netw           	Tx  	> > >	send	->2 RX_FIND_SUCCESSOR mID 2802 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @2047 pS 0
3.02      	netw           	  Rx	< < <	push_into_network	->0 TX_ACK mID 2802 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
3.02      	netw           	  Rx	< < <	push_into_network	->0 TX_SUCCESSOR mID 2802 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
3.02      	netw           	  Rx	< < <	checkReceive	2->0 TX_ACK mID 2802 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
3.03      	netw           	Tx  	> > >	send	->0 RX_ACK mID 2802 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
3.03      	netw           	  Rx	< < <	push_into_network	->0 TX_FIND_SUCCESSOR mID 3223 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @0 pS 0
3.03      	netw           	  Rx	< < <	checkReceive	2->0 TX_SUCCESSOR mID 2802 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
3.04      	netw           	Tx  	> > >	send	->0 RX_SUCCESSOR mID 2802 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
3.04      	netw           	  Rx	< < <	push_into_network	->0 TX_FIND_SUCCESSOR mID 3544 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @2047 pS 0
3.04      	netw           	  Rx	< < <	checkReceive	2->0 TX_FIND_SUCCESSOR mID 3223 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @0 pS 0
3.05      	netw           	Tx  	> > >	send	->0 RX_FIND_SUCCESSOR mID 3223 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @0 pS 0
3.05      	netw           	  Rx	< < <	checkReceive	1->0 TX_FIND_SUCCESSOR mID 3544 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @2047 pS 0
3.05      	netw           	  Rx	< < <	push_into_network	->2 TX_ACK mID 3223 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
3.05      	netw           	  Rx	< < <	push_into_network	->2 TX_SUCCESSOR mID 3223 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
3.05      	netw           	  Rx	< < <	checkReceive	0->2 TX_ACK mID 3223 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
3.06      	netw           	Tx  	> > >	send	->0 RX_FIND_SUCCESSOR mID 3544 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @2047 pS 0
3.06      	netw           	Tx  	> > >	send	->2 RX_ACK mID 3223 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
3.06      	netw           	  Rx	< < <	checkReceive	0->2 TX_SUCCESSOR mID 3223 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
3.06      	netw           	  Rx	< < <	push_into_network	->1 TX_ACK mID 3544 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
3.06      	netw           	  Rx	< < <	push_into_network	->2 TX_FIND_SUCCESSOR mID 3544 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @1 sID @2047 pS 0
3.06      	netw           	  Rx	< < <	checkReceive	0->1 TX_ACK mID 3544 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
3.07      	netw           	Tx  	> > >	send	->1 RX_ACK mID 3544 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
3.07      	netw           	Tx  	> > >	send	->2 RX_SUCCESSOR mID 3223 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
3.07      	netw           	  Rx	< < <	checkReceive	0->2 TX_FIND_SUCCESSOR mID 3544 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @1 sID @2047 pS 0
3.08      	netw           	Tx  	> > >	send	->2 RX_FIND_SUCCESSOR mID 3544 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @1 sID @2047 pS 0
3.08      	netw           	  Rx	< < <	push_into_network	->0 TX_ACK mID 3544 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
3.08      	netw           	  Rx	< < <	push_into_network	->1 TX_SUCCESSOR mID 3544 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @2 i @0 sID @2 pS 0
3.08      	netw           	  Rx	< < <	checkReceive	2->0 TX_ACK mID 3544 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
3.08      	netw           	  Rx	< < <	checkReceive	2->1 TX_SUCCESSOR mID 3544 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @2 i @0 sID @2 pS 0
3.09      	netw           	Tx  	> > >	send	->0 RX_ACK mID 3544 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
3.09      	netw           	Tx  	> > >	send	->1 RX_SUCCESSOR mID 3544 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @2 i @0 sID @2 pS 0
4.01      	netw           	  Rx	< < <	push_into_network	->2 TX_FIND_SUCCESSOR mID 4033 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @2046 pS 0
4.01      	netw           	  Rx	< < <	checkReceive	0->2 TX_FIND_SUCCESSOR mID 4033 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @2046 pS 0
4.02      	netw           	Tx  	> > >	send	->2 RX_FIND_SUCCESSOR mID 4033 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @2046 pS 0
4.02      	netw           	  Rx	< < <	push_into_network	->0 TX_ACK mID 4033 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
4.02      	netw           	  Rx	< < <	push_into_network	->0 TX_SUCCESSOR mID 4033 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
4.02      	netw           	  Rx	< < <	checkReceive	2->0 TX_ACK mID 4033 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
4.03      	netw           	Tx  	> > >	send	->0 RX_ACK mID 4033 pid 1 f t ACK a 0 ps 0 r 0 d @0 s @2 i @0 sID @0 pS 0
4.03      	netw           	  Rx	< < <	checkReceive	2->0 TX_SUCCESSOR mID 4033 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
4.03      	netw           	  Rx	< < <	push_into_network	->0 TX_FIND_PREDECESSOR mID 4831 pid 1 f t FIND_PREDECESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @2047 pS 0
4.04      	netw           	Tx  	> > >	send	->0 RX_SUCCESSOR mID 4033 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
4.04      	netw           	  Rx	< < <	push_into_network	->0 TX_FIND_PREDECESSOR mID 5336 pid 1 f t FIND_PREDECESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @2047 pS 0
4.04      	netw           	  Rx	< < <	checkReceive	2->0 TX_FIND_PREDECESSOR mID 4831 pid 1 f t FIND_PREDECESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @2047 pS 0
4.05      	netw           	Tx  	> > >	send	->0 RX_FIND_PREDECESSOR mID 4831 pid 1 f t FIND_PREDECESSOR a 1 ps 0 r 0 d @0 s @2 i @2 sID @2047 pS 0
4.05      	netw           	  Rx	< < <	checkReceive	1->0 TX_FIND_PREDECESSOR mID 5336 pid 1 f t FIND_PREDECESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @2047 pS 0
4.05      	netw           	  Rx	< < <	push_into_network	->2 TX_ACK mID 4831 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
4.05      	netw           	  Rx	< < <	push_into_network	->2 TX_PREDECESSOR mID 4831 pid 1 f t PREDECESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @2 pS 0
4.05      	netw           	  Rx	< < <	checkReceive	0->2 TX_ACK mID 4831 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
4.06      	netw           	Tx  	> > >	send	->0 RX_FIND_PREDECESSOR mID 5336 pid 1 f t FIND_PREDECESSOR a 1 ps 0 r 0 d @0 s @1 i @1 sID @2047 pS 0
4.06      	netw           	Tx  	> > >	send	->2 RX_ACK mID 4831 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
4.06      	netw           	  Rx	< < <	checkReceive	0->2 TX_PREDECESSOR mID 4831 pid 1 f t PREDECESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @2 pS 0
4.06      	netw           	  Rx	< < <	push_into_network	->1 TX_ACK mID 5336 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
4.06      	netw           	  Rx	< < <	push_into_network	->1 TX_PREDECESSOR mID 5336 pid 1 f t PREDECESSOR a 0 ps 0 r 0 d @1 s @0 i @0 sID @2 pS 0
4.06      	netw           	  Rx	< < <	checkReceive	0->1 TX_ACK mID 5336 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
4.07      	netw           	Tx  	> > >	send	->1 RX_ACK mID 5336 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
4.07      	netw           	Tx  	> > >	send	->2 RX_PREDECESSOR mID 4831 pid 1 f t PREDECESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @2 pS 0
4.07      	netw           	  Rx	< < <	checkReceive	0->1 TX_PREDECESSOR mID 5336 pid 1 f t PREDECESSOR a 0 ps 0 r 0 d @1 s @0 i @0 sID @2 pS 0
4.07      	netw           	  Rx	< < <	push_into_network	->0 TX_NOTIFY mID 6017 pid 1 f t NOTIFY a 1 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
4.07      	netw           	  Rx	< < <	checkReceive	2->0 TX_NOTIFY mID 6017 pid 1 f t NOTIFY a 1 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
4.08      	netw           	Tx  	> > >	send	->0 RX_NOTIFY mID 6017 pid 1 f t NOTIFY a 1 ps 0 r 0 d @0 s @2 i @0 sID @2 pS 0
4.08      	netw           	Tx  	> > >	send	->1 RX_PREDECESSOR mID 5336 pid 1 f t PREDECESSOR a 0 ps 0 r 0 d @1 s @0 i @0 sID @2 pS 0
4.08      	netw           	  Rx	< < <	push_into_network	->2 TX_ACK mID 6017 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
4.08      	netw           	  Rx	< < <	push_into_network	->0 TX_NOTIFY mID 6743 pid 1 f t NOTIFY a 1 ps 0 r 0 d @0 s @1 i @0 sID @1 pS 0
4.08      	netw           	  Rx	< < <	checkReceive	1->0 TX_NOTIFY mID 6743 pid 1 f t NOTIFY a 1 ps 0 r 0 d @0 s @1 i @0 sID @1 pS 0
4.08      	netw           	  Rx	< < <	checkReceive	0->2 TX_ACK mID 6017 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
4.09      	netw           	Tx  	> > >	send	->0 RX_NOTIFY mID 6743 pid 1 f t NOTIFY a 1 ps 0 r 0 d @0 s @1 i @0 sID @1 pS 0
4.09      	netw           	Tx  	> > >	send	->2 RX_ACK mID 6017 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
4.09      	netw           	  Rx	< < <	push_into_network	->1 TX_ACK mID 6743 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
4.09      	netw           	  Rx	< < <	checkReceive	0->1 TX_ACK mID 6743 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
4.1       	netw           	Tx  	> > >	send	->1 RX_ACK mID 6743 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
5.01      	netw           	  Rx	< < <	push_into_network	->2 TX_FIND_PREDECESSOR mID 5768 pid 1 f t FIND_PREDECESSOR a 1 ps 0 r 0 d @2 s @0 i @0 sID @1 pS 0
